Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25831996,Воно,Stephen        King,"King, Stephen","Стівен Кінг, Олександр Красюк, Сергій Крикун, Роман Трифонов, Михайло Каменюк","=""9661486972""","=""9789661486972""",5,4.24,Клуб Сімейного Дозвілля,Hardcover,1344,2014,1986,,2017/07/02,,,read,,,,1,0
36589315,Артеміда,Andy Weir,"Weir, Andy",,"=""6177535194""","=""9786177535194""",4,3.69,КМ-Букс,Hardcover,400,2017,2017,2018/03/27,2018/03/27,,,read,"Якщо оцінювати мої очікування від книжки, то це 2.<br/>Якщо ж оцінювати сюжет книги - то це 4.<br/><br/> <br/>",,,1,0
36380188,Гора між нами,Charles Martin,"Martin, Charles",,"=""6171238724""","=""9786171238725""",4,4.22,Клуб сімейного дозвілля,Hardcover,349,2018,2010,2018/07/14,2018/07/15,,,read,,,,1,0
36456349,Бетмен: Цить,Jeph Loeb,"Loeb, Jeph","Jim Lee, Євген Музиченко","=""9669171962""","=""9789669171962""",5,4.27,Рідна Мова,Hardcover,320,2017,2002,2018/06/16,2018/06/23,,,read,,,,1,0
33961324,Твоя перша остання брехня,Harlan Coben,"Coben, Harlan","Гарлан Кобен, Олена Оксенич","=""6171216631""","=""9786171216631""",4,3.97,Книжковий Клуб «Клуб Сімейного Дозвілля» ,Hardcover,316,2017,2016,2018/04/30,2018/04/30,,,read,,,,1,0
35170273,Бетмен: Убивчий жарт,Alan             Moore,"Moore, Alan","Brian Bolland, Алан Мур, Брайан Болланд, Євген Музиченко","=""966917175X""","=""9789669171757""",4,4.36,Рідна Мова,Hardcover,72,2017,1988,2018/06/23,2018/06/23,,,read,,,,1,0
40101317,Сімміс,Neal Stephenson,"Stephenson, Neal","Ніл Стівенсон, Остап Українець","=""9661055475""","=""9789661055475""",4,4.00,,Hardcover,688,2018,2015,2018/07/29,2018/07/29,,,read,,,,1,0
41720952,"Венец демона (Sigma Force, #13)",James Rollins,"Rollins, James","Джеймс Роллинс, Анатолий Дубовик","=""5040927800""","=""9785040927807""",4,4.21,Э,Hardcover,416,2018,2017,2018/08/04,2018/08/04,,,read,,,,1,0
38101816,Ганнібал,Thomas  Harris,"Harris, Thomas","Томас Гарріс, Анастасія Рогоза","=""6171245542""","=""9786171245549""",5,3.82,«Книжковий Клуб «Клуб Сімейного Дозвілля»,Hardcover,512,2018,1999,2018/02/21,2018/02/04,,,read,,,,1,0
36283452,Першому гравцеві приготуватися,Ernest Cline,"Cline, Ernest","Ернест Клайн, Зоряна Крижанович, Юрій Нікітюк","=""6177498965""","=""9786177498963""",5,4.23,КМ-Букс,Hardcover,520,2017,2011,2018/03/03,2018/03/03,,,read,Неймовірно крута книга.<br/><br/>В найближчому майбутньому точно буду її перечитувати.,,,1,0
36410395,Стріляй як дівчисько,Mary Jennings Hegar,"Hegar, Mary Jennings","Мері Дженнінґз Геґар, Анастасія Дудченко","=""6171239275""","=""9786171239272""",5,4.14,Книжковий Клуб «Клуб Сімейного Дозвілля»,Hardcover,256,2017,2017,2018/01/27,2018/01/27,,,read,"Напевно, одна із кращих прочитаних мною книг!",,,1,0
35423177,Зоряний пил,Neil Gaiman,"Gaiman, Neil","Ніл Ґейман, Дмитро Кушнір","=""6177498019""","=""9786177498017""",4,4.10,Видавнича група КМ-БУКС,Hardcover,240,2017,1999,2018/01/10,2018/01/11,,,read,,,,1,0
30063030,Я — легенда,Richard Matheson,"Matheson, Richard",,"=""6171208361""","=""9786171208360""",4,4.05,«Книжковий Клуб «Клуб Сімейного Дозвілля» ,Hardcover,224,2016,1954,2018/08/10,2018/08/10,,,read,,,,1,0
23438179,Клон Дьявола,Scott Sigler,"Sigler, Scott",,"=""5699615687""","=""9785699615681""",4,3.92,"ООО ""Издательство ""Эксмо""",Paperback,544,2013,2007,2018/08/19,2018/08/19,,,read,,,,1,0
24935034,Не отворачивайся,Linwood Barclay,"Barclay, Linwood","Линвуд Баркли, Л.Г. Мордухович","=""5170830769""","=""9785170830763""",5,4.04,АСТ,Hardcover,416,2014,2010,,2018/10/10,,,read,,,,2,0
35096192,Крістіна,Stephen        King,"King, Stephen","Стівен Кінг, Олена Любенко","=""6171224790""","=""9786171224797""",4,3.85,Книжковий Клуб «Клуб Сімейного Дозвілля»,Hardcover,576,2017,1983,2018/09/23,2018/09/23,,,read,,,,1,0
29429982,"The Twenty-Three (Promise Falls, #3)",Linwood Barclay,"Barclay, Linwood",,"=""0451472721""","=""9780451472724""",5,4.05,Berkley,Hardcover,451,2016,2016,2018/09/14,2018/09/14,,,read,"Майже до останньої сторінки думав, що фінал буде завершеним, що книжка закінчиться словами ""і жили вони довго та щасливо"". Ага, розігнався! Цього не сталося. <br/>Якщо брати книгу як окрему частину, то я б поставив 4. Але якщо розглядати книгу як завершення(хоча знаю, що скоро має бути четверта частина цієї серії) трилогії, то це однозначно 5. <br/>Сюжетні лінії знаходяться не одній площині, усе не так просто. <br/>І навіть якщо здається, що вже відомо хто хороший, а хто поганий, то це лише здається! <br/><br/>Барклей тепер входить в мій особистий топ! ",,,1,0
36622747,Де немає Бога,Max Kidruk,"Kidruk, Max",Макс Кідрук,"=""6171249505""","=""9786171249509""",4,4.13,Книжковий Клуб «Клуб Сімейного Дозвілля»,Hardcover,480,2018,2018,2018/09/09,2018/07/27,,,read,,,,1,0
25810392,"Far From True (Promise Falls,  #2)",Linwood Barclay,"Barclay, Linwood",,"=""0451472705""","=""9780451472700""",4,3.90,Berkley,Hardcover,449,2016,2016,2018/09/01,2018/09/02,,,read,,,,1,0
23398840,"Broken Promise (Promise Falls, #1)",Linwood Barclay,"Barclay, Linwood",,"=""0451472675""","=""9780451472670""",5,3.97,Berkley,Hardcover,484,2015,2015,2018/08/25,2018/08/25,,,read,"Довго вагався між оцінками 4 та 5, але оскільки це перша книга серії і виникає неймовірне бажання залишити усі справи і читати продовження, то ставлю 5. <br/>А якщо коротко, то це хороший трилер з відтінком детективу.",,,1,0
